animal_id,nombre,tipo,raza,sexo,fecha_ingreso,refugio
A000639,Catalina,Gato,Siamés,Macho,2022-10-19,Huellitas
A000222,Lucía,Gato,Doméstico de pelo corto,Macho,2022-11-20,Huellitas
A000562,Facundo,Gato,Bengalí,Macho,2026-02-19,Huellitas
A000569,Juliana,Gato,Siamés,Macho,2026-05-13,Huellitas
A000214,Benjamin,Gato,Mestizo,Hembra,2026-05-27,Huellitas
A000213,Valentino,Gato,Bengalí,Hembra,2020-04-25,Huellitas
A000586,Bianca,Gato,Persa,Hembra,2024-09-07,Huellitas
A000208,Juan Francisco,Gato,Doméstico de pelo corto,Hembra,2026-03-05,Huellitas
A000196,Thiago Nicolas,Gato,Persa,Macho,2023-04-14,Huellitas
A000194,Tobias,Gato,Siamés,Macho,2017-09-18,Huellitas
A000625,Federico,Gato,Siamés,Macho,2026-03-26,Huellitas
A000190,Joaquin,Gato,Doméstico de pelo corto,Hembra,2023-02-17,Huellitas
A000629,Thiago Benjamin,Gato,Ragdoll,Hembra,2025-09-20,Huellitas
A000188,Santiago Benjamin,Gato,Persa,Hembra,2025-06-10,Huellitas
A000635,Benjamin,Gato,Mestizo,Hembra,2019-01-21,Huellitas
A000179,Alvaro,Gato,Persa,Hembra,2018-07-28,Huellitas
A000559,Malena,Gato,Mestizo,Macho,2024-08-14,Huellitas
A000641,Lautaro Benjamin,Gato,Maine Coon,Macho,2021-07-24,Huellitas
A000175,Maria Emilia,Gato,Maine Coon,Hembra,2022-11-03,Huellitas
A000648,Francesco,Gato,Persa,Hembra,2025-06-27,Huellitas
A000171,Santino Benjamin,Gato,Maine Coon,Macho,2024-12-27,Huellitas
A000169,Uma ,Gato,Ragdoll,Hembra,2019-04-28,Huellitas
A000657,Paloma,Gato,Maine Coon,Macho,2021-10-10,Huellitas
A000160,Rosario,Gato,Maine Coon,Macho,2025-05-10,Huellitas
A000676,Renata,Gato,Doméstico de pelo corto,Hembra,2024-02-03,Huellitas
A000151,Ignacio,Gato,Siamés,Macho,2026-04-03,Huellitas
A000680,Luz Milagros,Gato,Bengalí,Macho,2025-01-09,Huellitas
A000701,Benjamin,Gato,Ragdoll,Macho,2026-01-13,Huellitas
A000717,Matias,Gato,Siamés,Hembra,2021-12-12,Huellitas
A000138,Joaquín,Gato,Persa,Macho,2024-01-06,Huellitas
A000135,Gonzalo,Gato,Ragdoll,Macho,2025-12-17,Huellitas
A000496,Valentina,Gato,Bengalí,Macho,2016-08-05,Huellitas
A000330,Agustin,Gato,Mestizo,Hembra,2025-05-26,Huellitas
A000367,Jazmín,Gato,Persa,Macho,2018-01-18,Huellitas
A000325,Julieta,Gato,Maine Coon,Macho,2025-02-20,Huellitas
A000370,Valentina,Gato,Maine Coon,Hembra,2025-09-17,Huellitas
A000391,Olivia,Gato,Doméstico de pelo corto,Macho,2026-05-18,Huellitas
A000316,Benicio,Gato,Mestizo,Hembra,2026-04-21,Huellitas
A000411,Mia Valentina,Gato,Siamés,Hembra,2024-11-12,Huellitas
A000308,Josefina,Gato,Siamés,Macho,2026-05-31,Huellitas
A000306,Mora,Gato,Doméstico de pelo corto,Hembra,2018-07-16,Huellitas
A000298,Martina,Gato,Maine Coon,Hembra,2025-01-18,Huellitas
A000453,Matias,Gato,Persa,Hembra,2025-12-03,Huellitas
A000469,Josefina,Gato,Maine Coon,Macho,2023-09-12,Huellitas
A000473,Benjamin,Gato,Doméstico de pelo corto,Macho,2024-01-23,Huellitas
A000490,Sofía,Gato,Maine Coon,Hembra,2026-04-19,Huellitas
A000494,Guillermina,Gato,Bengalí,Hembra,2024-05-21,Huellitas
A000001,Emma,Gato,Doméstico de pelo corto,Macho,2023-12-02,Huellitas
A000265,Josefina,Gato,Mestizo,Macho,2022-07-16,Huellitas
A000500,Facundo,Gato,Maine Coon,Macho,2024-08-04,Huellitas
A000507,Paloma,Gato,Persa,Macho,2019-05-09,Huellitas
A000508,Joaquín,Gato,Maine Coon,Hembra,2025-10-03,Huellitas
A000509,Matias,Gato,Doméstico de pelo corto,Hembra,2022-05-16,Huellitas
A000518,Paulina,Gato,Doméstico de pelo corto,Hembra,2025-04-05,Huellitas
A000526,Lucia,Gato,Maine Coon,Macho,2026-02-06,Huellitas
A000534,Zoe,Gato,Mestizo,Hembra,2018-06-01,Huellitas
A000240,Renzo,Gato,Mestizo,Macho,2019-07-16,Huellitas
A000535,Thiago Benjamin,Gato,Mestizo,Macho,2026-02-22,Huellitas
A000542,Catalina,Gato,Siamés,Macho,2023-10-10,Huellitas
A000546,Isabella,Gato,Maine Coon,Macho,2025-05-03,Huellitas
A000547,Felipe,Gato,Doméstico de pelo corto,Hembra,2025-05-09,Huellitas
A000226,Felipe,Gato,Maine Coon,Macho,2024-07-02,Huellitas
A000071,Maria Guadalupe,Gato,Ragdoll,Macho,2026-03-10,Huellitas
A000785,Paulina,Gato,Persa,Macho,2026-01-20,Huellitas
A000964,Catalina,Gato,Ragdoll,Macho,2025-10-24,Huellitas
A000093,Josefina,Gato,Bengalí,Macho,2023-07-18,Huellitas
A000963,Facundo,Gato,Bengalí,Macho,2023-11-26,Huellitas
A000084,Joaquin,Gato,Siamés,Hembra,2020-06-19,Huellitas
A000818,Lautaro Nicolas,Gato,Mestizo,Hembra,2023-09-07,Huellitas
A000825,Morena Jazmin,Gato,Persa,Macho,2020-01-30,Huellitas
A000960,Camilo,Gato,Bengalí,Hembra,2025-09-18,Huellitas
A000945,Facundo,Gato,Maine Coon,Hembra,2024-09-06,Huellitas
A000845,Martina,Gato,Siamés,Hembra,2024-11-18,Huellitas
A000814,Bautista,Gato,Siamés,Macho,2024-08-08,Huellitas
A000858,Valentina,Gato,Siamés,Macho,2024-09-22,Huellitas
A000063,Sofia Belen,Gato,Maine Coon,Macho,2025-12-18,Huellitas
A000938,Joaquin,Gato,Bengalí,Hembra,2021-01-06,Huellitas
A000930,Catalina,Gato,Ragdoll,Macho,2023-09-04,Huellitas
A000922,Luca,Gato,Bengalí,Macho,2025-03-06,Huellitas
A000893,Juan Manuel,Gato,Bengalí,Macho,2023-04-17,Huellitas
A000909,Felipe,Gato,Bengalí,Hembra,2021-08-22,Huellitas
A000912,Pilar,Gato,Doméstico de pelo corto,Macho,2019-06-15,Huellitas
A000048,Milo,Gato,Mestizo,Hembra,2022-10-11,Huellitas
A000742,Tiziano Valentin,Gato,Doméstico de pelo corto,Macho,2023-06-30,Huellitas
A000983,Benjamin,Gato,Maine Coon,Macho,2019-03-20,Huellitas
A000759,Valentino,Gato,Persa,Hembra,2025-10-30,Huellitas
A000113,Mateo,Gato,Doméstico de pelo corto,Macho,2026-03-25,Huellitas
A000768,Lucía,Gato,Mestizo,Macho,2024-12-28,Huellitas
A000771,Thiago,Gato,Siamés,Hembra,2025-03-18,Huellitas
A000337,Guillermina,Perro,Golden Retriever,Macho,2026-02-04,Huellitas
A000334,Martina,Perro,Mestizo,Hembra,2022-06-06,Huellitas
A000942,Tomas,Perro,Chihuahua,Macho,2020-10-04,Huellitas
A000369,Thiago,Perro,Bulldog,Hembra,2025-06-10,Huellitas
A000918,Bautista,Perro,Bulldog,Hembra,2021-01-26,Huellitas
A000495,Juan Ignacio,Perro,Pastor Alemán,Macho,2020-06-01,Huellitas
A000997,Jeremias,Perro,Labrador,Macho,2018-12-14,Huellitas
A000941,Martina,Perro,Golden Retriever,Macho,2020-08-09,Huellitas
A000514,Juan Bautista,Perro,Chihuahua,Macho,2025-05-06,Huellitas
A000513,Jeremias,Perro,Pastor Alemán,Macho,2025-08-10,Huellitas
A000007,Delfina,Perro,Labrador,Hembra,2026-06-03,Huellitas
A000999,Agustín,Perro,Beagle,Macho,2025-01-18,Huellitas
A000485,Benjamin,Perro,Beagle,Macho,2024-03-15,Huellitas
A000506,Delfina,Perro,Bulldog,Hembra,2026-03-22,Huellitas
A000929,Tiziano Benjamin,Perro,Bulldog,Hembra,2023-03-06,Huellitas
A000347,Lorenzo,Perro,Mestizo,Macho,2025-11-29,Huellitas
A000341,Catalina,Perro,Chihuahua,Macho,2020-09-11,Huellitas
A000919,Dante,Perro,Labrador,Macho,2023-11-13,Huellitas
A000440,Dylan,Perro,Chihuahua,Macho,2025-10-17,Huellitas
A000415,Gael,Perro,Labrador,Macho,2021-05-21,Huellitas
A000966,Emma,Perro,Golden Retriever,Macho,2024-12-31,Huellitas
A000972,Felipe,Perro,Labrador,Macho,2025-12-21,Huellitas
A000405,Thiago Benjamin,Perro,Labrador,Hembra,2023-09-30,Huellitas
A000426,Charo,Perro,Pastor Alemán,Macho,2024-11-29,Huellitas
A000429,Pilar,Perro,Pastor Alemán,Macho,2022-11-15,Huellitas
A000973,Bautista Benjamin,Perro,Mestizo,Macho,2022-04-18,Huellitas
A000431,Bianca,Perro,Golden Retriever,Hembra,2024-03-22,Huellitas
A000437,Santiago,Perro,Bulldog,Macho,2022-08-02,Huellitas
A000402,Benjamin,Perro,Poodle,Hembra,2025-06-08,Huellitas
A000488,Isabella,Perro,Bulldog,Hembra,2025-05-01,Huellitas
A000548,Juana,Perro,Poodle,Macho,2023-09-25,Huellitas
A000397,Julieta,Perro,Labrador,Macho,2017-12-12,Huellitas
A000446,Lisandro,Perro,Beagle,Hembra,2026-05-06,Huellitas
A000977,Josefina,Perro,Poodle,Macho,2025-10-19,Huellitas
A000458,Maximo,Perro,Golden Retriever,Macho,2022-12-20,Huellitas
A000459,Juan Cruz,Perro,Bulldog,Hembra,2026-05-19,Huellitas
A000957,Micaela,Perro,Poodle,Hembra,2022-12-09,Huellitas
A000949,Santino Agustin,Perro,Chihuahua,Hembra,2026-02-07,Huellitas
A000476,Benjamin,Perro,Beagle,Macho,2021-04-26,Huellitas
A000413,Mateo,Perro,Pastor Alemán,Hembra,2026-03-14,Huellitas
A000670,Rafael,Perro,Mestizo,Macho,2026-01-06,Huellitas
A000803,Emma,Perro,Bulldog,Hembra,2022-06-16,Huellitas
A000802,Juan Martin,Perro,Poodle,Hembra,2023-02-10,Huellitas
A000797,Francisco,Perro,Labrador,Macho,2023-08-13,Huellitas
A000794,Elena,Perro,Poodle,Hembra,2022-01-08,Huellitas
A000651,Thiago Joaquin,Perro,Beagle,Hembra,2024-03-16,Huellitas
A000781,Maria Emilia,Perro,Bulldog,Macho,2025-12-16,Huellitas
A000778,Sofia,Perro,Chihuahua,Macho,2025-04-15,Huellitas
A000658,Juan,Perro,Poodle,Macho,2026-03-03,Huellitas
A000661,Santiago,Perro,Mestizo,Macho,2017-03-17,Huellitas
A000773,Carmela,Perro,Pastor Alemán,Macho,2026-04-16,Huellitas
A000663,Agustin,Perro,Labrador,Macho,2015-10-28,Huellitas
A000804,Sofia,Perro,Chihuahua,Macho,2020-01-02,Huellitas
A000671,Julia,Perro,Labrador,Macho,2024-03-16,Huellitas
A000764,Ciro,Perro,Mestizo,Macho,2026-01-14,Huellitas
A000682,Geronimo,Perro,Golden Retriever,Hembra,2025-09-10,Huellitas
A000690,Benicio,Perro,Pastor Alemán,Hembra,2017-10-20,Huellitas
A000710,Helena,Perro,Beagle,Hembra,2023-09-26,Huellitas
A000752,Maximo,Perro,Mestizo,Macho,2016-10-10,Huellitas
A000718,Catalina,Perro,Golden Retriever,Macho,2023-08-23,Huellitas
A000719,Lucas Ezequiel,Perro,Labrador,Hembra,2025-02-12,Huellitas
A000721,Thiago Benjamin,Perro,Beagle,Hembra,2023-02-08,Huellitas
A000724,Lucio,Perro,Mestizo,Macho,2023-01-12,Huellitas
A000727,Martina,Perro,Chihuahua,Hembra,2024-08-09,Huellitas
A000571,Emma,Perro,Mestizo,Macho,2016-12-11,Huellitas
A000528,Uma,Perro,Labrador,Macho,2024-01-03,Huellitas
A000914,Thiago Lionel,Perro,Chihuahua,Macho,2024-05-07,Huellitas
A000539,Isabella,Perro,Labrador,Hembra,2025-05-31,Huellitas
A000901,Nicolas,Perro,Labrador,Macho,2026-05-15,Huellitas
A000891,Paulina,Perro,Chihuahua,Hembra,2020-10-17,Huellitas
A000734,Valentina ,Perro,Mestizo,Hembra,2025-01-13,Huellitas
A000551,Ciro,Perro,Golden Retriever,Macho,2025-10-25,Huellitas
A000876,Valentina Jazmin,Perro,Beagle,Macho,2025-07-22,Huellitas
A000556,Catalina,Perro,Mestizo,Hembra,2021-07-31,Huellitas
A000867,Paulina,Perro,Labrador,Hembra,2021-01-24,Huellitas
A000852,Manuel,Perro,Chihuahua,Hembra,2021-10-29,Huellitas
A000519,Isabel,Perro,Mestizo,Macho,2025-12-15,Huellitas
A000579,Olivia,Perro,Golden Retriever,Hembra,2021-04-13,Huellitas
A000836,Delfina,Perro,Labrador,Hembra,2021-03-13,Huellitas
A000835,Isabella,Perro,Labrador,Macho,2024-06-25,Huellitas
A000589,Maria Guadalupe,Perro,Chihuahua,Hembra,2026-05-15,Huellitas
A000591,Francesca,Perro,Beagle,Macho,2022-12-21,Huellitas
A000592,Alma Valentina,Perro,Golden Retriever,Hembra,2022-09-29,Huellitas
A000615,Isabella,Perro,Pastor Alemán,Hembra,2025-10-28,Huellitas
A000834,Jeremias,Perro,Mestizo,Hembra,2022-08-26,Huellitas
A000826,Juan Manuel,Perro,Beagle,Macho,2023-06-27,Huellitas
A000623,Lisandro,Perro,Beagle,Hembra,2023-03-25,Huellitas
A000634,Felicitas,Perro,Golden Retriever,Macho,2026-03-07,Huellitas
A000230,Ignacio,Perro,Labrador,Macho,2026-05-17,Huellitas
A000150,Luz Maria,Perro,Poodle,Hembra,2026-01-23,Huellitas
A000154,Sofía,Perro,Poodle,Macho,2021-04-23,Huellitas
A000161,Ana Paula,Perro,Chihuahua,Hembra,2024-11-16,Huellitas
A000167,Matilda,Perro,Golden Retriever,Macho,2025-08-19,Huellitas
A000201,Priscila,Perro,Labrador,Macho,2025-07-25,Huellitas
A000210,Lara,Perro,Mestizo,Macho,2025-11-13,Huellitas
A000211,Martina,Perro,Poodle,Macho,2018-01-27,Huellitas
A000212,Mateo,Perro,Golden Retriever,Macho,2025-08-09,Huellitas
A000218,Juan Bautista,Perro,Bulldog,Hembra,2025-09-17,Huellitas
A000219,Camila,Perro,Mestizo,Hembra,2020-04-01,Huellitas
A000147,Juan Cruz,Perro,Mestizo,Macho,2026-01-11,Huellitas
A000236,Felipe,Perro,Chihuahua,Hembra,2019-06-24,Huellitas
A000239,Valentino,Perro,Pastor Alemán,Macho,2026-01-18,Huellitas
A000251,Catalina,Perro,Mestizo,Hembra,2024-07-21,Huellitas
A000255,Valentino,Perro,Poodle,Macho,2023-10-18,Huellitas
A000262,Ian,Perro,Mestizo,Macho,2024-03-04,Huellitas
A000263,Agostina,Perro,Poodle,Macho,2022-01-23,Huellitas
A000273,Catalina,Perro,Poodle,Hembra,2018-12-06,Huellitas
A000289,Lautaro Nahuel,Perro,Pastor Alemán,Macho,2025-11-08,Huellitas
A000295,Amparo,Perro,Mestizo,Macho,2025-11-02,Huellitas
A000297,Bautista,Perro,Poodle,Macho,2020-10-15,Huellitas
A000070,Morena,Perro,Chihuahua,Hembra,2022-01-09,Huellitas
A000009,Juan Martin,Perro,Beagle,Hembra,2025-04-15,Huellitas
A000018,Valentino,Perro,Poodle,Hembra,2025-08-29,Huellitas
A000022,Malena,Perro,Pastor Alemán,Macho,2022-04-09,Huellitas
A000025,Fausto,Perro,Bulldog,Hembra,2021-05-15,Huellitas
A000026,Sofia,Perro,Bulldog,Macho,2020-08-03,Huellitas
A000032,Felipe,Perro,Chihuahua,Macho,2022-04-10,Huellitas
A000035,Jazmín,Perro,Chihuahua,Hembra,2020-03-10,Huellitas
A000051,Joaquín,Perro,Bulldog,Macho,2023-06-11,Huellitas
A000054,Amparo,Perro,Pastor Alemán,Macho,2026-05-19,Huellitas
A000066,Thiago,Perro,Beagle,Macho,2021-11-27,Huellitas
A000331,Francisco,Perro,Beagle,Hembra,2026-01-18,Huellitas
A000074,Lautaro,Perro,Poodle,Hembra,2023-04-23,Huellitas
A000078,Mateo Benjamin,Perro,Bulldog,Macho,2026-04-18,Huellitas
A000080,Mateo,Perro,Pastor Alemán,Hembra,2026-03-22,Huellitas
A000086,Josefina,Perro,Labrador,Hembra,2020-08-20,Huellitas
A000104,Bruno,Perro,Mestizo,Hembra,2025-05-23,Huellitas
A000109,Sofia,Perro,Bulldog,Hembra,2024-02-13,Huellitas
A000115,Martina,Perro,Bulldog,Macho,2023-11-07,Huellitas
A000116,Julieta,Perro,Mestizo,Macho,2026-05-18,Huellitas
