animal_id,nombre,tipo,raza,fecha_ingreso,sexo,refugio
A000457,Emma,Gato,Doméstico de pelo corto,2026-05-17,Macho,Huellitas
A000248,Catalina,Gato,Mestizo,2024-05-24,Macho,Huellitas
A000249,Santiago Nicolas,Gato,Persa,2020-07-02,Macho,Huellitas
A000283,Zoe,Gato,Doméstico de pelo corto,2026-01-03,Macho,Huellitas
A000300,Benjamin,Gato,Bengalí,2025-11-08,Hembra,Huellitas
A000302,Zoe,Gato,Doméstico de pelo corto,2023-01-10,Macho,Huellitas
A000326,Thiago Daniel,Gato,Persa,2026-05-09,Macho,Huellitas
A000330,Olivia,Gato,Bengalí,2021-12-22,Macho,Huellitas
A000346,Giuliana,Gato,Doméstico de pelo corto,2024-11-08,Macho,Huellitas
A000379,Matias,Gato,Maine Coon,2024-01-18,Macho,Huellitas
A000393,Valentina ,Gato,Bengalí,2024-06-02,Macho,Huellitas
A000422,Malena,Gato,Doméstico de pelo corto,2022-04-10,Hembra,Huellitas
A000451,Santino,Gato,Ragdoll,2023-05-27,Hembra,Huellitas
A000221,Luz Milagros,Gato,Mestizo,2020-01-18,Macho,Huellitas
A000461,Delfina,Gato,Persa,2024-10-20,Hembra,Huellitas
A000462,Benjamin,Gato,Persa,2025-05-02,Hembra,Huellitas
A000466,Sebastian,Gato,Persa,2017-06-08,Macho,Huellitas
A000475,Alejo,Gato,Bengalí,2024-10-29,Macho,Huellitas
A000476,Thiago Agustin,Gato,Doméstico de pelo corto,2024-09-16,Hembra,Huellitas
A000485,Lucía ,Gato,Doméstico de pelo corto,2026-05-13,Macho,Huellitas
A000487,Emilia,Gato,Siamés,2025-07-09,Hembra,Huellitas
A000489,Jazmín,Gato,Mestizo,2021-09-08,Hembra,Huellitas
A000494,Sofia,Gato,Bengalí,2026-01-15,Hembra,Huellitas
A000499,Facundo,Gato,Persa,2026-01-20,Macho,Huellitas
A000505,Luca,Gato,Persa,2022-08-07,Hembra,Huellitas
A000506,Josefina,Gato,Persa,2021-10-10,Macho,Huellitas
A000099,Joaquina,Gato,Maine Coon,2024-09-12,Hembra,Huellitas
A665256,Jerry,Gato,Domestic Shorthair Mix,2013-10-15,Macho,Huellitas
A691437,Philippe,Gato,Domestic Shorthair Mix,2014-11-12,Macho,Huellitas
A000007,Sebastian,Gato,Maine Coon,2021-09-26,Hembra,Huellitas
A000009,Santiago,Gato,Doméstico de pelo corto,2026-03-28,Macho,Huellitas
A000024,Tobias,Gato,Siamés,2021-11-09,Macho,Huellitas
A000031,Ludmila,Gato,Doméstico de pelo corto,2022-11-13,Macho,Huellitas
A000033,Joaquin,Gato,Ragdoll,2025-12-21,Hembra,Huellitas
A000039,Alma,Gato,Ragdoll,2024-02-14,Hembra,Huellitas
A000050,Isabella,Gato,Mestizo,2025-04-08,Hembra,Huellitas
A000063,Catalina,Gato,Persa,2023-02-19,Macho,Huellitas
A000064,Abril,Gato,Mestizo,2023-08-09,Hembra,Huellitas
A000089,Agustin,Gato,Bengalí,2026-04-08,Macho,Huellitas
A000519,Lara,Gato,Siamés,2026-04-29,Macho,Huellitas
A000118,Facundo,Gato,Persa,2026-05-03,Macho,Huellitas
A000133,Ian Ezequiel,Gato,Ragdoll,2023-03-08,Macho,Huellitas
A000134,Ana Paula,Gato,Siamés,2024-12-07,Macho,Huellitas
A000141,Guillermina,Gato,Ragdoll,2024-07-13,Hembra,Huellitas
A000152,Catalina,Gato,Persa,2022-10-07,Macho,Huellitas
A000161,Sofia,Gato,Persa,2026-01-22,Macho,Huellitas
A000164,Bautista Benjamin,Gato,Mestizo,2023-08-19,Macho,Huellitas
A000172,Joaquin,Gato,Persa,2023-12-18,Hembra,Huellitas
A000179,Francisco,Gato,Maine Coon,2026-05-04,Hembra,Huellitas
A000189,Alma Mia,Gato,Siamés,2025-07-08,Macho,Huellitas
A000214,Francisco,Gato,Ragdoll,2025-06-01,Macho,Huellitas
A000217,Isabella,Gato,Ragdoll,2022-02-23,Macho,Huellitas
A000911,Gino,Gato,Mestizo,2023-07-08,Macho,Huellitas
A000805,Antonia,Gato,Ragdoll,2023-10-20,Macho,Huellitas
A000820,Lautaro Nicolas,Gato,Bengalí,2022-07-22,Hembra,Huellitas
A000824,Morena,Gato,Bengalí,2024-12-21,Macho,Huellitas
A000832,Mateo Benjamin,Gato,Persa,2026-04-30,Macho,Huellitas
A000839,Mateo,Gato,Doméstico de pelo corto,2022-06-05,Macho,Huellitas
A000843,Franco,Gato,Ragdoll,2021-10-12,Hembra,Huellitas
A000852,Martin,Gato,Bengalí,2026-03-14,Hembra,Huellitas
A000866,Juan Cruz,Gato,Maine Coon,2021-09-29,Hembra,Huellitas
